booking_id,date,slot_time,customer_id,crew_id,zone,area,lat,lng,slot_type,items,vehicle_size,list_price,total_price,is_weekend,status
B000001,2024-01-01,08:00,U02566,C10,north,Golf Course Road,28.43171,77.11669,subscription,subscription|tyre_dressing,suv,299.0,398.0,0,completed
B000002,2024-01-01,10:30,U00535,C07,north,DLF Phase 3,28.48249,77.09502,exterior,exterior|wax_polish,sedan,349.0,749.0,0,completed
B000003,2024-01-01,11:00,U00535,C04,north,DLF Phase 3,28.48249,77.09502,exterior_plus,exterior_plus|tyre_dressing,sedan,499.0,598.0,0,completed
B000004,2024-01-01,12:30,U00258,C02,north,DLF Phase 3,28.49763,77.08586,subscription,subscription,hatchback,299.0,299.0,0,completed
B000005,2024-01-01,13:30,U01886,C10,west,Sector 14,28.49563,77.00817,subscription,subscription|interior_clean,sedan,299.0,549.0,0,completed
B000006,2024-01-01,09:00,U00643,C04,north,Udyog Vihar,28.49549,77.08548,subscription,subscription|tyre_dressing,sedan,299.0,398.0,0,completed
B000007,2024-01-01,09:00,U01636,C05,north,Udyog Vihar,28.49713,77.08818,interior,interior,suv,399.0,399.0,0,no_show
B000008,2024-01-01,14:30,U00873,C05,north,Golf Course Road,28.44989,77.12115,subscription,subscription|interior_clean|wax_polish,hatchback,299.0,949.0,0,completed
B000009,2024-01-01,08:30,U02532,C03,north,Udyog Vihar,28.49745,77.07308,subscription,subscription|tyre_dressing,hatchback,299.0,398.0,0,completed
B000010,2024-01-01,11:00,U01690,C02,west,New Gurgaon,28.41779,76.95829,exterior,exterior|wax_polish,hatchback,349.0,749.0,0,no_show
B000011,2024-01-01,18:30,U01935,C08,west,Sector 14,28.4704,77.04749,subscription,subscription|tyre_dressing,hatchback,299.0,398.0,0,completed
B000012,2024-01-01,08:30,U01700,C06,north,DLF Phase 3,28.49553,77.08712,interior,interior|tyre_dressing,hatchback,399.0,498.0,0,completed
B000013,2024-01-01,12:30,U01904,C08,west,Palam Vihar,28.49528,77.04218,exterior,exterior|tyre_dressing,sedan,349.0,448.0,0,completed
B000014,2024-01-01,11:30,U01260,C07,west,New Gurgaon,28.43445,76.95471,exterior,exterior|interior_clean,hatchback,349.0,599.0,0,completed
B000015,2024-01-01,16:00,U00638,C07,east,Sector 56,28.42833,77.10073,interior,interior,suv,399.0,399.0,0,completed
B000016,2024-01-01,14:00,U00660,C07,west,Sector 14,28.46959,77.02831,interior,interior|wax_polish|engine_bay,suv,399.0,,0,completed
B000017,2024-01-01,09:30,U00148,C05,east,Sector 56,28.43114,77.08749,subscription,subscription|wax_polish,suv,299.0,699.0,0,completed
B000018,2024-01-01,14:00,U00404,C10,west,Sector 14,28.47418,77.03621,subscription,subscription|interior_clean,hatchback,299.0,549.0,0,completed
B000019,2024-01-01,14:00,U01668,C06,east,Sector 56,28.41946,77.1159,subscription,subscription|interior_clean,hatchback,299.0,549.0,0,completed
B000020,2024-01-01,12:00,U01440,C10,south,Manesar,28.34373,76.93951,full_detail,full_detail|interior_clean,hatchback,999.0,1249.0,0,completed
B000021,2024-01-01,11:30,U02252,C09,west,Palam Vihar,28.51077,77.03685,subscription,subscription|tyre_dressing,hatchback,299.0,398.0,0,completed
B000022,2024-01-01,08:30,U01155,C04,south,Manesar,28.35371,76.93168,subscription,subscription|tyre_dressing,suv,299.0,398.0,0,completed
B000023,2024-01-01,13:30,U02037,C07,east,Sector 56,28.42826,77.1095,exterior_plus,exterior_plus|interior_clean,sedan,499.0,749.0,0,completed
B000024,2024-01-01,17:00,U00327,C09,north,Udyog Vihar,28.49689,77.10441,full_detail,full_detail|tyre_dressing,sedan,999.0,1098.0,0,completed
B000025,2024-01-01,18:30,U00518,C05,north,Golf Course Road,28.42363,77.11299,subscription,subscription|interior_clean,suv,299.0,549.0,0,completed
B000026,2024-01-01,10:30,U02054,C10,north,DLF Phase 3,28.50136,77.09003,subscription,subscription,sedan,299.0,299.0,0,completed
B000027,2024-01-01,17:00,U01105,C06,north,Cyber Hub,28.4903,77.09308,subscription,subscription|interior_clean,suv,299.0,549.0,0,completed
B000028,2024-01-01,15:00,U00403,C04,north,DLF Phase 3,28.48639,77.10009,subscription,subscription|engine_bay,sedan,299.0,649.0,0,completed
