booking_id,date,crew_id,customer_id,zone,scheduled_time,arrival_time,late_minutes,duration_minutes,distance_km,water_litres,dirtiness_level,rating,revenue
B000001,2024-01-01,C10,U02566,north,08:00,08:07,8,39,4.26,56.4,2,4,398.0
B000002,2024-01-01,C07,U00535,north,10:30,10:30,0,62,5.23,45.5,2,5,749.0
B000003,2024-01-01,C04,U00535,north,11:00,11:00,0,52,3.77,54.4,2,4,598.0
B000004,2024-01-01,C02,U00258,north,12:30,12:30,0,38,1.49,36.6,1,4,299.0
B000005,2024-01-01,C10,U01886,west,13:30,13:39,9,54,9.07,74.6,3,4,549.0
B000006,2024-01-01,C04,U00643,north,09:00,09:07,7,41,4.99,39.5,1,4,398.0
B000008,2024-01-01,C05,U00873,north,14:30,14:30,0,76,1.47,72.4,4,4,949.0
B000009,2024-01-01,C03,U02532,north,08:30,08:48,18,45,6.32,45.6,4,3,398.0
B000011,2024-01-01,C08,U01935,west,18:30,18:32,2,35,3.68,51.6,4,4,398.0
B000012,2024-01-01,C06,U01700,north,08:30,08:48,18,40,13.86,46.2,3,3,498.0
B000013,2024-01-01,C08,U01904,west,12:30,12:39,10,35,3.46,41.0,1,4,448.0
B000014,2024-01-01,C07,U01260,west,11:30,11:31,2,57,13.38,57.0,2,5,599.0
B000015,2024-01-01,C07,U00638,east,16:00,16:12,13,42,1.21,52.6,1,4,399.0
B000016,2024-01-01,C07,U00660,west,14:00,14:00,0,87,7.24,65.8,3,4,1149.0
B000017,2024-01-01,C05,U00148,east,09:30,09:41,11,56,2.5,60.9,2,5,699.0
B000018,2024-01-01,C10,U00404,west,14:00,14:13,13,54,5.74,66.1,3,4,549.0
B000019,2024-01-01,C06,U01668,east,14:00,14:07,7,50,13.37,55.1,2,3,549.0
B000020,2024-01-01,C10,U01440,south,12:00,12:20,20,108,20.19,62.1,2,3,1249.0
B000021,2024-01-01,C09,U02252,west,11:30,11:31,1,42,6.04,44.7,3,4,398.0
B000022,2024-01-01,C04,U01155,south,08:30,08:54,24,41,18.2,73.7,3,2,398.0
B000023,2024-01-01,C07,U02037,east,13:30,13:30,0,67,1.94,57.5,1,3,749.0
B000024,2024-01-01,C09,U00327,north,17:00,17:03,4,101,2.75,56.5,3,5,1098.0
B000025,2024-01-01,C05,U00518,north,18:30,18:30,0,51,2.52,80.9,2,5,549.0
B000026,2024-01-01,C10,U02054,north,10:30,10:33,3,34,4.14,60.5,4,3,299.0
B000027,2024-01-01,C06,U01105,north,17:00,17:15,16,50,13.95,72.3,1,4,549.0
B000028,2024-01-01,C04,U00403,north,15:00,15:00,0,56,4.36,48.6,2,4,649.0
B000030,2024-01-01,C05,U02535,south,09:30,09:30,0,31,7.9,62.0,2,4,299.0
B000031,2024-01-01,C07,U02021,north,12:00,12:01,1,77,1.64,70.2,4,4,899.0
B000032,2024-01-01,C06,U01560,north,15:00,15:11,12,75,10.99,65.6,2,4,949.0
B000033,2024-01-02,C08,U01372,north,10:30,10:30,0,55,2.43,76.7,4,4,648.0
