date,temp_c,rain_mm,condition
2024-01-01,13.8,0.0,clear
2024-01-02,15.4,0.0,clear
2024-01-03,12.2,3.4,rain
2024-01-04,13.6,0.0,clear
2024-01-05,14.1,0.0,clear
2024-01-06,16.1,0.0,clear
2024-01-07,15.4,0.0,clear
2024-01-08,14.6,0.0,clear
2024-01-09,17.1,0.0,clear
2024-01-10,9.2,25.8,heavy_rain
2024-01-11,15.2,0.0,clear
2024-01-12,12.6,0.0,clear
2024-01-13,12.6,0.0,clear
2024-01-14,17.8,0.0,clear
2024-01-15,12.6,0.0,clear
2024-01-16,12.4,0.0,clear
2024-01-17,15.4,0.0,clear
2024-01-18,14.6,0.0,clear
2024-01-19,12.9,0.0,clear
2024-01-20,16.7,0.0,clear
2024-01-21,15.0,0.0,clear
2024-01-22,10.8,0.0,clear
2024-01-23,9.7,0.0,clear
2024-01-24,13.4,0.0,clear
2024-01-25,15.3,0.0,clear
2024-01-26,14.1,0.0,clear
2024-01-27,15.7,17.4,rain
2024-01-28,12.4,0.0,clear
2024-01-29,11.1,0.0,clear
2024-01-30,13.0,0.0,clear
2024-01-31,17.5,0.0,clear
2024-02-01,10.4,0.0,clear
2024-02-02,15.7,0.0,clear
2024-02-03,14.2,0.0,clear
2024-02-04,14.0,0.0,clear
2024-02-05,18.8,0.0,clear
2024-02-06,14.6,0.0,clear
2024-02-07,14.6,0.0,clear
2024-02-08,14.5,0.0,clear
2024-02-09,15.6,0.0,clear
2024-02-10,15.6,0.0,clear
2024-02-11,15.2,0.0,clear
2024-02-12,17.4,0.0,clear
2024-02-13,12.7,0.0,clear
2024-02-14,16.3,0.0,clear
2024-02-15,16.7,0.0,clear
2024-02-16,14.3,0.0,clear
2024-02-17,19.9,0.0,clear
2024-02-18,12.2,0.0,clear
2024-02-19,16.1,0.0,clear
2024-02-20,17.6,0.0,clear
2024-02-21,16.1,0.0,clear
2024-02-22,16.5,0.0,clear
2024-02-23,11.4,0.0,clear
2024-02-24,14.3,0.0,clear
2024-02-25,14.2,6.1,rain
2024-02-26,19.8,0.0,clear
2024-02-27,14.6,0.0,clear
2024-02-28,15.3,0.0,clear
2024-02-29,18.5,0.0,clear
2024-03-01,18.0,0.0,clear
2024-03-02,17.7,0.0,clear
2024-03-03,17.2,9.3,rain
2024-03-04,18.3,0.0,clear
2024-03-05,18.7,17.7,rain
2024-03-06,15.8,0.0,clear
2024-03-07,18.1,0.0,clear
2024-03-08,20.3,0.0,clear
2024-03-09,22.5,0.0,clear
2024-03-10,12.9,0.0,clear
2024-03-11,19.6,0.0,clear
2024-03-12,19.4,0.0,clear
2024-03-13,19.7,0.3,clear
2024-03-14,21.8,0.0,clear
2024-03-15,18.5,0.0,clear
2024-03-16,22.2,0.0,clear
2024-03-17,20.1,0.0,clear
2024-03-18,19.3,0.0,clear
2024-03-19,18.4,0.0,clear
2024-03-20,20.6,0.0,clear
2024-03-21,17.7,0.0,clear
2024-03-22,21.2,0.0,clear
