run_id,date,who,what_changed,main_metric,value,seed,notes,stage,model,n_features,n_train,n_test
R001,2026-09-12,Naman,size_only / global_mean,MAE,11.1051,0,"RMSE 13.564, R2 -0.0001, MAE exterior 10.239 / interior 13.401",size_only,global_mean,2,31441,7861
R002,2026-09-12,Naman,size_only / size_mean,MAE,8.8168,0,"RMSE 10.818, R2 0.3638, MAE exterior 7.172 / interior 13.179",size_only,size_mean,2,31441,7861
R003,2026-09-12,Naman,planning / size_mean,MAE,5.8593,0,"RMSE 7.244, R2 0.7147, MAE exterior 5.850 / interior 5.884",planning,size_mean,3,31441,7861
R004,2026-09-12,Naman,planning / linear,MAE,5.8591,0,"RMSE 7.245, R2 0.7147, MAE exterior 5.849 / interior 5.885",planning,linear,3,31441,7861
R005,2026-09-12,Naman,planning / gbm,MAE,5.8599,0,"RMSE 7.246, R2 0.7146, MAE exterior 5.852 / interior 5.882",planning,gbm,3,31441,7861
R006,2026-09-12,Naman,onsite / size_mean,MAE,2.3915,0,"RMSE 2.982, R2 0.9517, MAE exterior 2.377 / interior 2.429",onsite,size_mean,6,31441,7861
R007,2026-09-12,Naman,onsite / linear,MAE,2.39,0,"RMSE 2.981, R2 0.9517, MAE exterior 2.376 / interior 2.426",onsite,linear,6,31441,7861
R008,2026-09-12,Naman,onsite / gbm,MAE,2.3914,0,"RMSE 2.982, R2 0.9517, MAE exterior 2.377 / interior 2.428",onsite,gbm,6,31441,7861
R009,2026-09-12,Naman,size_only / global_mean,MAE,11.0965,1,"RMSE 13.573, R2 -0.0000, MAE exterior 10.105 / interior 13.695",size_only,global_mean,2,31441,7861
R010,2026-09-12,Naman,size_only / size_mean,MAE,8.8506,1,"RMSE 10.849, R2 0.3611, MAE exterior 7.234 / interior 13.087",size_only,size_mean,2,31441,7861
R011,2026-09-12,Naman,planning / size_mean,MAE,5.9101,1,"RMSE 7.282, R2 0.7121, MAE exterior 5.867 / interior 6.023",planning,size_mean,3,31441,7861
R012,2026-09-12,Naman,planning / linear,MAE,5.9107,1,"RMSE 7.283, R2 0.7121, MAE exterior 5.866 / interior 6.028",planning,linear,3,31441,7861
