stage,model,vehicle_size,dirtiness_level,interior_clean,predicted_litres,pi_low_litres,pi_high_litres,interval_level,n_observed,observed_mean_litres,observed_sd_litres
planning,size_mean,hatchback,,0,41.834,29.973,54.318,0.9,9880,41.842,6.235
planning,size_mean,hatchback,,1,59.896,48.035,72.379,0.9,3912,59.896,6.162
planning,size_mean,sedan,,0,50.061,38.2,62.544,0.9,10690,50.021,7.094
planning,size_mean,sedan,,1,68.217,56.356,80.7,0.9,4096,68.294,7.292
planning,size_mean,suv,,0,62.69,50.829,75.173,0.9,7755,62.796,8.613
planning,size_mean,suv,,1,80.436,68.575,92.92,0.9,2969,80.558,8.643
onsite,size_mean,hatchback,1,0,33.923,28.947,38.901,0.9,2024,33.938,3.001
onsite,size_mean,hatchback,1,1,52.076,47.1,57.055,0.9,754,51.973,3.006
onsite,size_mean,hatchback,2,0,40.1,35.124,45.079,0.9,3888,40.095,2.993
onsite,size_mean,hatchback,2,1,57.913,52.936,62.891,0.9,1565,58.03,2.953
onsite,size_mean,hatchback,3,0,46.035,41.059,51.013,0.9,2949,46.067,2.988
onsite,size_mean,hatchback,3,1,63.979,59.003,68.958,0.9,1190,63.934,3.053
onsite,size_mean,hatchback,4,0,52.041,47.065,57.019,0.9,1019,51.98,2.982
onsite,size_mean,hatchback,4,1,69.906,64.93,74.884,0.9,403,70.041,2.882
onsite,size_mean,sedan,1,0,40.733,35.756,45.711,0.9,2170,40.76,3.041
onsite,size_mean,sedan,1,1,58.835,53.859,63.813,0.9,842,58.762,3.037
onsite,size_mean,sedan,2,0,47.994,43.017,52.972,0.9,4307,47.995,3.0
onsite,size_mean,sedan,2,1,66.074,61.098,71.052,0.9,1558,66.033,3.046
onsite,size_mean,sedan,3,0,55.013,50.036,59.991,0.9,3179,55.09,2.994
onsite,size_mean,sedan,3,1,73.277,68.3,78.255,0.9,1251,73.244,3.104
onsite,size_mean,sedan,4,0,62.384,57.408,67.362,0.9,1034,62.314,2.939
onsite,size_mean,sedan,4,1,80.201,75.224,85.179,0.9,445,80.334,2.96
onsite,size_mean,suv,1,0,50.983,46.007,55.961,0.9,1528,50.984,2.986
onsite,size_mean,suv,1,1,68.881,63.904,73.859,0.9,603,68.908,3.163
onsite,size_mean,suv,2,0,59.964,54.987,64.942,0.9,3054,60.019,2.925
onsite,size_mean,suv,2,1,78.012,73.036,82.99,0.9,1197,78.003,3.096
onsite,size_mean,suv,3,0,68.922,63.945,73.9,0.9,2400,68.949,3.04
onsite,size_mean,suv,3,1,86.999,82.022,91.977,0.9,884,87.004,2.977
onsite,size_mean,suv,4,0,78.105,73.129,83.083,0.9,773,78.007,2.97
onsite,size_mean,suv,4,1,95.918,90.942,100.896,0.9,285,95.939,3.014
