vehicle_type,capacity_litres,planning_basis,method,jobs_served_pct,revenue_captured_pct,overflow_pct_of_crew_days
small_van,200.0,oracle_actual,booked_order,59.3,58.5,0.0
small_van,200.0,oracle_actual,value_density,62.4,70.9,0.0
small_van,200.0,oracle_actual,exact_knapsack,63.1,71.7,0.0
small_van,200.0,planning_point,booked_order,59.0,58.3,5.9
small_van,200.0,planning_point,value_density,61.1,70.3,8.1
small_van,200.0,planning_point,exact_knapsack,61.8,71.0,11.9
small_van,200.0,planning_safe,booked_order,48.0,47.0,0.0
small_van,200.0,planning_safe,value_density,50.9,61.3,0.0
small_van,200.0,planning_safe,exact_knapsack,52.3,61.9,0.0
ev_van,280.0,oracle_actual,booked_order,76.6,75.9,0.0
ev_van,280.0,oracle_actual,value_density,78.8,84.5,0.0
ev_van,280.0,oracle_actual,exact_knapsack,79.2,85.0,0.0
ev_van,280.0,planning_point,booked_order,76.6,75.9,5.4
ev_van,280.0,planning_point,value_density,78.1,84.2,6.9
ev_van,280.0,planning_point,exact_knapsack,78.8,84.8,10.5
ev_van,280.0,planning_safe,booked_order,66.3,65.6,0.0
ev_van,280.0,planning_safe,value_density,68.0,76.4,0.0
ev_van,280.0,planning_safe,exact_knapsack,68.9,77.0,0.0
large_van,350.0,oracle_actual,booked_order,86.4,85.9,0.0
large_van,350.0,oracle_actual,value_density,87.7,91.3,0.0
large_van,350.0,oracle_actual,exact_knapsack,88.0,91.7,0.0
large_van,350.0,planning_point,booked_order,86.6,86.0,4.1
large_van,350.0,planning_point,value_density,87.3,91.2,4.6
large_van,350.0,planning_point,exact_knapsack,87.8,91.6,7.0
large_van,350.0,planning_safe,booked_order,77.7,77.1,0.0
large_van,350.0,planning_safe,value_density,78.7,85.0,0.0
large_van,350.0,planning_safe,exact_knapsack,79.4,85.4,0.0
